PRUEBA DE CARGA DE VENTAS
============================================================
Codigo   DNI         Fecha      Puntaje
WPU8819  65071478    20240207      16
KVL6246  47659552    20240420      95
CKC4095  38724322    20240130       6
HGN9910  76693511    20230909      78
BUC5125  14500753    20240125      24
LJD9991  37328103    20231017      18
YKQ9278  49516360    20231204      84
ZYF6683  17750908    20231130      57
VSG3432  92240876    20240227      51
FWK6327  85870289    20231001       7
UXZ2187  51235238    20230907      67
UQL8643  81082011    20231018      17
ZQY9966  11750801    20231018      28
SQB7146  48053960    20240208      87
JLQ6546  14268463    20231116      22
IUG2294  69200503    20230905       8
CTW5846  60740809    20240318      99
VMW6915  72832218    20231109      86
NFP3266  47659552    20230914      90
JJV7549  33583840    20240206      84
CMP1150  27109544    20230920      67
HWM4049  38724322    20231229      27
HCT8192  11750801    20230922      10
WYE2119  66747161    20240107      33
TVR7016  45834351    20231123      71
CKC4095  17750908    20240101      91
BZY0235  65830353    20240106      60
VMW6915  37751890    20231121      60
BXE0974  21344013    20240406      58
HHR5161  96056368    20231208       4
CJN4376  86898639    20240209      78
KSX7995  67066631    20240124      75
MLC7198  20449598    20231021      23
ZQY9966  69200503    20240304      47
CKR6798  21344013    20231013      77
EWI3090  92240876    20240323       4
KWL0415  45002711    20240101      47
JZC7527  33958767    20240508      91
QCA9584  15129661    20240428      81
IFL0150  14268463    20240319      45
KBF4088  81082011    20240307      67
MEH2993  88080249    20230920      58
WWT1581  83265244    20240317      89
WWT1581  27109544    20240127      65
VSG3432  65830353    20231210      53
FNM6936  37751890    20240420      36
CXW5879  87804471    20240326      85
OQK1590  14500753    20231024      61
XCC4070  45181396    20230920       3
PQZ1316  21344013    20231101      33
WPU8819  37751890    20240323      40
GDA4236  65830353    20240324      56
PPI9259  92240876    20240324      11
QKH2262  63602514    20231228      33
IFL0150  60740809    20230913      11
TBZ2657  57431952    20231127      93
OWU1533  54393647    20231213      23
EHX6253  14268463    20231226      39
TAB4639  88080249    20240113      31
QVX9089  37751890    20230929      30
RSK1164  33583840    20240406      38
TOJ1764  81462164    20240131      25
ZOY6470  42302422    20231115      34
UCA0857  57431952    20231211      12
VFZ9435  49516360    20231027      72
JSM8271  72832218    20240206      75
RSK1164  83265244    20240508      60
RNG2321  58717040    20230926       7
MBQ9495  57431952    20240430       4
RZX8790  42302422    20231221      39
PQB0775  17750908    20240103      44
OCI8959  47659552    20231018      96
ZYF6683  38724322    20230918      54
UDS2730  76693511    20230909      89
PQZ1316  14500753    20231021      57
OBH4691  37328103    20231109      37
WCZ0845  49516360    20231216      47
RYI5447  17750908    20231113      23
MNL3677  92240876    20240225      92
VFZ9435  51235238    20230928      64
CRY6839  81082011    20240325      29
VOI0019  11750801    20231018      79
YZV6954  48053960    20230925      69
AGQ7769  14268463    20231018      49
ILG7766  69200503    20240323      70
QRH6838  47659552    20240220      10
JBR9372  33583840    20240405      10
HSE3213  27109544    20240129       3
VDL9379  11750801    20240225      93
XJT3661  17750908    20240218      91
JEN0751  21344013    20240301       5
DVR5984  67066631    20230917      32
IMC3155  21344013    20231206      87
OCI8959  92240876    20240424      19
FMX8255  15129661    20240328      60
JNC0786  14268463    20231007      54
CRR5443  81082011    20231002      51
MBB0685  88080249    20231113      97
EJE8138  83265244    20240413      80
HPP3360  65830353    20231022      78
VFZ9435  21344013    20230908      54
CKC4095  37751890    20230923      32
SMW0186  65830353    20240504       3
XBC5847  14268463    20231118      12
EBT7258  81462164    20240318      62
KTA8754  42302422    20240306      43
BTX3816  57431952    20240422       1
LJE6687  83265244    20231122      22
PHL4155  57431952    20240509       2
JZQ8143  42302422    20240125      44
TMR5068  38724322    20240505      41
ILA4795  14500753    20231224      36
KTA8754  37328103    20240104      32
MVU0233  11750801    20230906       5
